0	42	41	59
3	35	44	57
1	81	24	26
9	3	44	57
5	51	42	60
3	45	42	60
2	18	34	83
7	71	44	61
4	29	44	61
0	68	20	59
7	85	27	23
0	81	20	59
1	27	43	64
5	25	13	44
1	23	30	43
0	84	13	44
8	67	21	64
6	2	30	43
3	80	21	70
2	23	18	68
7	70	40	17
3	18	49	15
8	65	41	17
1	34	33	49
3	64	39	33
5	0	40	18
6	18	39	33
2	6	40	17
5	51	46	15
8	65	38	35
9	24	39	30
7	82	46	15
7	19	21	65
6	93	38	35
0	41	40	18
6	77	46	16
0	61	44	66
3	85	50	15
8	32	45	16
1	93	50	15
2	84	41	17
1	24	50	19
3	89	39	30
5	49	47	15
5	28	47	15
1	37	52	70
6	46	40	34
0	22	39	75
3	13	36	84
5	13	40	34
0	11	41	31
3	54	37	85
6	66	32	46
1	75	36	84
9	3	33	46
9	98	43	84
0	32	43	44
4	60	42	43
1	59	26	51
4	72	22	66
4	5	43	44
7	24	56	69
0	62	22	66
6	1	41	75
3	64	20	79
3	77	21	48
6	80	17	48
6	58	21	48
7	49	33	49
3	37	17	48
4	52	42	43
5	52	31	49
3	98	28	49
6	32	23	49
0	30	23	49
3	79	34	22
1	50	34	22
3	31	37	21
5	26	30	23
7	71	37	21
2	99	30	23
1	20	27	22
8	73	30	23
6	66	32	49
4	97	24	50
2	66	39	20
4	50	44	63
0	36	42	36
5	82	44	63
2	11	40	32
2	70	51	26
2	59	30	83
7	57	37	37
0	62	42	36
5	16	43	73
1	25	43	73
1	53	48	37
1	25	47	77
9	71	45	35
2	53	47	81
8	42	47	81
3	37	31	54
4	85	45	81
1	59	37	54
7	84	31	54
1	74	7	69
8	1	37	54
1	20	7	69
4	34	49	72
4	36	49	73
4	31	45	78
7	12	45	78
3	19	24	53
5	81	42	32
8	92	26	51
1	47	24	77
4	60	24	77
7	52	27	83
4	22	27	83
5	62	8	70
9	42	54	16
0	46	8	70
9	37	29	41
8	79	30	30
9	91	26	25
2	83	30	29
1	15	29	41
0	39	23	101
3	55	30	27
4	89	33	49
7	96	22	41
6	14	32	40
0	22	51	74
0	28	46	61
7	87	32	40
7	56	31	30
5	41	32	28
4	88	17	65
1	41	46	84
7	70	46	84
8	66	30	67
1	63	29	83
9	18	30	67
1	69	8	70
5	43	20	52
7	23	30	83
2	46	30	83
4	37	39	55
3	75	30	53
4	44	38	69
0	96	39	55
8	87	30	53
5	55	46	55
0	97	25	54
2	26	46	55
4	59	25	55
8	28	45	55
7	66	45	55
7	0	29	83
4	13	29	68
1	32	40	34
8	60	7	69
7	69	18	51
9	62	27	64
7	19	18	51
4	56	25	60
5	58	22	43
5	73	22	43
8	43	28	64
6	5	27	60
